model_name,config,fp16,compiled,batch_size,input_length,max_new_tokens,avg_latency_s,p50_latency_s,p95_latency_s,std_latency_s,ci95_half_ms,ms_per_token,throughput_tok_s,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,weight_bytes_mb,estimated_bandwidth_GBs,arithmetic_intensity
gpt2-large,fp16,True,False,2,32,50,1.38,1.378,1.3923,0.00822,3.845,27.601,72.46,58,2269,12288,1476.3,56.09,2.0
gpt2-large,fp16,True,False,2,128,50,1.4518,1.4526,1.4585,0.00613,2.871,29.036,68.88,57,2343,12288,1476.3,53.32,2.0
gpt2-large,fp16,True,False,2,512,50,1.6917,1.6818,1.6912,0.05461,25.559,33.835,59.11,78,2623,12288,1476.3,45.75,2.0
gpt2-large,fp16,True,False,4,32,50,1.4034,1.4041,1.4212,0.01324,6.196,28.068,142.51,65,2623,12288,1476.3,55.15,4.0
gpt2-large,fp16,True,False,4,128,50,1.4975,1.4979,1.5117,0.0135,6.319,29.951,133.55,71,2623,12288,1476.3,51.69,4.0
gpt2-large,fp16,True,False,4,512,50,1.9055,1.9088,1.9193,0.01521,7.118,38.11,104.96,93,3301,12288,1476.3,40.62,4.0
gpt2-large,fp16,True,False,8,32,50,1.4349,1.4339,1.4567,0.01738,8.136,28.698,278.77,70,3301,12288,1476.3,53.94,8.0
gpt2-large,fp16,True,False,8,128,50,1.6418,1.6422,1.649,0.00682,3.193,32.836,243.64,82,3301,12288,1476.3,47.15,8.0
gpt2-large,fp16,True,False,8,512,50,2.8012,2.8017,2.838,0.03093,14.474,56.024,142.79,99,4495,12288,1476.3,27.63,8.0
gpt2-large,fp16,True,False,16,32,50,1.5878,1.5034,1.8488,0.14693,68.764,31.756,503.84,82,4495,12288,1476.3,48.75,16.0
gpt2-large,fp16,True,False,16,128,50,1.8335,1.8307,1.8519,0.01231,5.763,36.67,436.32,96,4495,12288,1476.3,42.22,16.0
gpt2-large,fp16,True,False,16,512,50,4.5473,4.557,4.5821,0.0288,13.477,90.947,175.93,99,7041,12288,1476.3,17.02,16.0
gpt2-large,fp16,True,False,32,32,50,1.5936,1.5905,1.6111,0.01031,4.823,31.873,1003.99,97,7041,12288,1476.3,48.57,32.0
gpt2-large,fp16,True,False,32,128,50,2.8149,2.8257,2.841,0.0267,12.497,56.298,568.41,98,7041,12288,1476.3,27.5,32.0
gpt2-large,fp16,True,False,32,512,50,8.4949,8.5044,8.5747,0.06528,30.552,169.897,188.35,99,12133,12288,1476.3,9.11,32.0
gpt2-large,compile,False,True,1,32,50,1.2525,1.2491,1.2678,0.01154,5.402,25.051,39.92,49,3479,12288,2952.7,123.59,0.5
gpt2-large,compile,False,True,1,128,50,1.2714,1.271,1.2752,0.00313,1.465,25.428,39.33,52,3671,12288,2952.7,121.76,0.5
gpt2-large,compile,False,True,1,512,50,1.375,1.3751,1.3792,0.003,1.403,27.5,36.36,62,4071,12288,2952.7,112.59,0.5
gpt2-large,compile,False,True,2,32,50,1.3044,1.3036,1.3089,0.00336,1.575,26.087,76.67,45,4071,12288,2952.7,118.68,1.0
gpt2-large,compile,False,True,2,128,50,1.3513,1.3511,1.3543,0.00391,1.828,27.026,74.0,49,4071,12288,2952.7,114.56,1.0
gpt2-large,compile,False,True,2,512,50,1.5691,1.5537,1.604,0.02805,13.129,31.381,63.73,70,4609,12288,2952.7,98.66,1.0
gpt2-large,compile,False,True,4,32,50,1.2614,1.2605,1.268,0.00399,1.867,25.228,158.55,51,4613,12288,2952.7,122.73,2.0
gpt2-large,compile,False,True,4,128,50,1.351,1.35,1.3574,0.006,2.809,27.02,148.04,59,4613,12288,2952.7,114.59,2.0
gpt2-large,compile,False,True,4,512,50,1.8066,1.8038,1.8142,0.01088,5.091,36.131,110.71,88,6047,12288,2952.7,85.69,2.0
gpt2-large,compile,False,True,8,32,50,1.3068,1.3052,1.3179,0.0061,2.855,26.136,306.09,56,6047,12288,2952.7,118.46,4.0
gpt2-large,compile,False,True,8,128,50,1.5117,1.5132,1.5196,0.00722,3.38,30.235,264.59,78,6047,12288,2952.7,102.4,4.0
gpt2-large,compile,False,True,8,512,50,2.7723,2.7761,2.7925,0.01708,7.992,55.447,144.28,98,8433,12288,2952.7,55.84,4.0
gpt2-large,compile,False,True,16,32,50,1.4031,1.4025,1.4094,0.00345,1.615,28.062,570.18,92,8433,12288,2952.7,110.33,8.0
gpt2-large,compile,False,True,16,128,50,2.098,2.0969,2.1065,0.00645,3.02,41.959,381.32,94,8433,12288,2952.7,73.79,8.0
gpt2-large,compile,False,True,16,512,50,4.9287,4.9374,4.9796,0.04152,19.43,98.573,162.32,99,11549,12288,2952.7,31.41,8.0
gpt2-large,compile,False,True,32,32,50,1.8964,1.8972,1.9033,0.00576,2.695,37.928,843.71,87,11551,12288,2952.7,81.63,16.0
gpt2-large,compile,False,True,32,128,50,2.9918,2.9989,3.0045,0.01299,6.08,59.835,534.8,98,11551,12288,2952.7,51.74,16.0
gpt2-large,fp16+compile,True,True,1,32,50,1.1924,1.1919,1.2005,0.00603,2.824,23.848,41.93,47,1983,12288,1476.3,64.91,1.0
gpt2-large,fp16+compile,True,True,1,128,50,1.1948,1.194,1.1997,0.00284,1.328,23.897,41.85,48,2039,12288,1476.3,64.78,1.0
gpt2-large,fp16+compile,True,True,1,512,50,1.2901,1.2905,1.2928,0.00277,1.295,25.801,38.76,55,2269,12288,1476.3,60.0,1.0
gpt2-large,fp16+compile,True,True,2,32,50,1.3359,1.3333,1.3394,0.01186,5.55,26.717,74.86,59,2269,12288,1476.3,57.94,2.0
gpt2-large,fp16+compile,True,True,2,128,50,1.3778,1.3767,1.3826,0.00361,1.69,27.556,72.58,62,2343,12288,1476.3,56.18,2.0
gpt2-large,fp16+compile,True,True,2,512,50,1.6072,1.6064,1.6179,0.00557,2.608,32.143,62.22,79,2623,12288,1476.3,48.16,2.0
gpt2-large,fp16+compile,True,True,4,32,50,1.3441,1.3436,1.3516,0.00408,1.909,26.882,148.8,64,2623,12288,1476.3,57.59,4.0
gpt2-large,fp16+compile,True,True,4,128,50,1.424,1.4258,1.4333,0.00722,3.378,28.48,140.45,73,2623,12288,1476.3,54.36,4.0
gpt2-large,fp16+compile,True,True,4,512,50,1.8404,1.8401,1.8442,0.00285,1.332,36.807,108.67,96,3301,12288,1476.3,42.06,4.0
gpt2-large,fp16+compile,True,True,8,32,50,1.3754,1.3749,1.384,0.00454,2.123,27.508,290.82,67,3301,12288,1476.3,56.28,8.0
gpt2-large,fp16+compile,True,True,8,128,50,1.5738,1.5736,1.5797,0.00486,2.276,31.476,254.17,86,3301,12288,1476.3,49.18,8.0
gpt2-large,fp16+compile,True,True,8,512,50,2.7866,2.776,2.8338,0.04104,19.205,55.733,143.54,99,4495,12288,1476.3,27.78,8.0
gpt2-large,fp16+compile,True,True,16,32,50,1.4231,1.4243,1.4321,0.00799,3.739,28.462,562.16,82,4495,12288,1476.3,54.39,16.0
gpt2-large,fp16+compile,True,True,16,128,50,1.8059,1.8099,1.8147,0.01071,5.012,36.118,443.0,99,4495,12288,1476.3,42.86,16.0
gpt2-large,fp16+compile,True,True,16,512,50,4.5411,4.5473,4.5811,0.03225,15.093,90.822,176.17,99,7041,12288,1476.3,17.04,16.0
gpt2-large,fp16+compile,True,True,32,32,50,1.5598,1.5514,1.5619,0.05587,26.15,31.195,1025.8,97,7041,12288,1476.3,49.63,32.0
gpt2-large,fp16+compile,True,True,32,128,50,2.8161,2.8298,2.8396,0.02462,11.523,56.321,568.17,98,7041,12288,1476.3,27.49,32.0
gpt2-large,fp16+compile,True,True,32,512,50,8.5363,8.553,8.6048,0.0807,37.77,170.726,187.43,99,12133,12288,1476.3,9.07,32.0
gpt-neo-125m,baseline,False,False,1,32,50,0.4506,0.4501,0.4541,0.00285,1.334,9.013,110.95,27,865,12288,477.6,55.57,0.5
gpt-neo-125m,baseline,False,False,1,128,50,0.4522,0.4512,0.4553,0.00264,1.237,9.044,110.57,28,911,12288,477.6,55.38,0.5
gpt-neo-125m,baseline,False,False,1,512,50,0.4674,0.4672,0.4735,0.00298,1.396,9.348,106.98,29,1047,12288,477.6,53.58,0.5
gpt-neo-125m,baseline,False,False,2,32,50,0.4449,0.445,0.4467,0.00148,0.691,8.898,224.78,29,1047,12288,477.6,56.28,1.0
gpt-neo-125m,baseline,False,False,2,128,50,0.4514,0.4514,0.4547,0.00211,0.986,9.028,221.52,32,1067,12288,477.6,55.47,1.0
gpt-neo-125m,baseline,False,False,2,512,50,0.4925,0.4902,0.5003,0.01065,4.984,9.85,203.05,35,1265,12288,477.6,50.84,1.0
gpt-neo-125m,baseline,False,False,4,32,50,0.4426,0.4419,0.4467,0.0026,1.219,8.851,451.91,31,1265,12288,477.6,56.58,2.0
gpt-neo-125m,baseline,False,False,4,128,50,0.4527,0.4522,0.4583,0.00289,1.353,9.054,441.8,31,1265,12288,477.6,55.31,2.0
gpt-neo-125m,baseline,False,False,4,512,50,0.5477,0.5473,0.5536,0.00565,2.643,10.955,365.15,43,1659,12288,477.6,45.72,2.0
gpt-neo-125m,baseline,False,False,8,32,50,0.459,0.459,0.4607,0.0014,0.655,9.181,871.37,38,1659,12288,477.6,54.55,4.0
gpt-neo-125m,baseline,False,False,8,128,50,0.4924,0.4922,0.4979,0.00358,1.675,9.849,812.28,44,1659,12288,477.6,50.85,4.0
gpt-neo-125m,baseline,False,False,8,512,50,0.7259,0.7214,0.748,0.01086,5.08,14.517,551.06,61,2445,12288,477.6,34.5,4.0
gpt-neo-125m,baseline,False,False,16,32,50,0.4722,0.472,0.475,0.00228,1.066,9.444,1694.15,49,2445,12288,477.6,53.03,8.0
gpt-neo-125m,baseline,False,False,16,128,50,0.5593,0.5589,0.5719,0.00802,3.754,11.186,1430.38,57,2445,12288,477.6,44.77,8.0
gpt-neo-125m,baseline,False,False,16,512,50,1.1083,1.1111,1.131,0.01912,8.95,22.166,721.84,77,4017,12288,477.6,22.59,8.0
gpt-neo-125m,baseline,False,False,32,32,50,0.5118,0.512,0.5176,0.00546,2.554,10.235,3126.51,75,4017,12288,477.6,48.93,16.0
gpt-neo-125m,baseline,False,False,32,128,50,0.7413,0.7374,0.7602,0.01349,6.313,14.827,2158.24,80,4017,12288,477.6,33.78,16.0
gpt-neo-125m,baseline,False,False,32,512,50,1.9357,1.9363,1.9836,0.03695,17.294,38.714,826.57,93,7159,12288,477.6,12.94,16.0
gpt-neo-125m,fp16,True,False,1,32,50,0.4736,0.473,0.4785,0.00317,1.485,9.471,105.58,26,603,12288,238.8,26.44,1.0
gpt-neo-125m,fp16,True,False,1,128,50,0.4721,0.4717,0.4754,0.00354,1.658,9.443,105.9,28,627,12288,238.8,26.52,1.0
gpt-neo-125m,fp16,True,False,1,512,50,0.4901,0.4898,0.4934,0.0025,1.17,9.802,102.02,29,723,12288,238.8,25.55,1.0
gpt-neo-125m,fp16,True,False,2,32,50,0.5187,0.5189,0.5216,0.00232,1.085,10.374,192.79,38,723,12288,238.8,24.14,2.0
gpt-neo-125m,fp16,True,False,2,128,50,0.5197,0.5194,0.5225,0.00203,0.952,10.393,192.43,37,723,12288,238.8,24.09,2.0
gpt-neo-125m,fp16,True,False,2,512,50,0.5542,0.5532,0.5582,0.00385,1.803,11.085,180.43,43,847,12288,238.8,22.59,2.0
gpt-neo-125m,fp16,True,False,4,32,50,0.5191,0.5184,0.5223,0.00252,1.18,10.382,385.29,37,847,12288,238.8,24.12,4.0
gpt-neo-125m,fp16,True,False,4,128,50,0.5304,0.5298,0.5331,0.00434,2.031,10.607,377.1,39,851,12288,238.8,23.61,4.0
gpt-neo-125m,fp16,True,False,4,512,50,0.606,0.605,0.6183,0.00728,3.408,12.119,330.05,56,1097,12288,238.8,20.66,4.0
gpt-neo-125m,fp16,True,False,8,32,50,0.521,0.5202,0.5246,0.00253,1.186,10.42,767.78,40,1097,12288,238.8,24.03,8.0
gpt-neo-125m,fp16,True,False,8,128,50,0.5499,0.5492,0.5569,0.00338,1.58,10.998,727.4,46,1097,12288,238.8,22.77,8.0
gpt-neo-125m,fp16,True,False,8,512,50,0.7655,0.7649,0.78,0.01038,4.859,15.309,522.55,59,1491,12288,238.8,16.36,8.0
gpt-neo-125m,fp16,True,False,16,32,50,0.5304,0.5307,0.5329,0.00188,0.878,10.608,1508.23,45,1491,12288,238.8,23.6,16.0
gpt-neo-125m,fp16,True,False,16,128,50,0.6032,0.6055,0.6144,0.0103,4.821,12.065,1326.17,56,1491,12288,238.8,20.75,16.0
gpt-neo-125m,fp16,True,False,16,512,50,1.0759,1.0767,1.098,0.01413,6.614,21.518,743.57,71,2469,12288,238.8,11.64,16.0
gpt-neo-125m,fp16,True,False,32,32,50,0.5167,0.5156,0.5256,0.00464,2.171,10.334,3096.47,54,2469,12288,238.8,24.23,32.0
gpt-neo-125m,fp16,True,False,32,128,50,0.718,0.7176,0.7287,0.00886,4.146,14.361,2228.3,64,2469,12288,238.8,17.44,32.0
gpt-neo-125m,fp16,True,False,32,512,50,1.6586,1.6525,1.6883,0.02299,10.758,33.173,964.64,82,4041,12288,238.8,7.55,32.0
gpt-neo-125m,compile,False,True,1,32,50,0.4566,0.456,0.4603,0.00296,1.386,9.132,109.5,27,865,12288,477.6,54.84,0.5
gpt-neo-125m,compile,False,True,1,128,50,0.4595,0.4589,0.464,0.0026,1.218,9.19,108.82,28,911,12288,477.6,54.5,0.5
